,Bathrooms,Bedrooms,Fibre Internet,Floor Size,Garages,Listing Date,Listing Number,Price,Town,Type of Property,Erf Size,Garden,Parking,Pool,Pet Friendly,No Pets Allowed,Secure Parking,Furnished,Flatlet,ADSL Internet,Furnished (Optional),Satellite Internet,Fixed WiMax Internet
501,1.0,3.0,,211 m²,1.0,15 July 2020,108874227,3700000.0000,"Claremont, Cape Town",House,402 m²,1.0,,,,,,,,,,,
502,2.0,2.0,,138 m²,2.0,22 July 2020,108900907,4995000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,,
503,1.0,2.0,,69 m²,,22 July 2020,108899774,1325000.0000,"Claremont, Cape Town",Apartment / Flat,,,2.0,,,1.0,,,,,,,
504,5.0,5.0,,,1.0,03 December 2019,108239869,39000000.0000,"Clifton, Cape Town",House,345 m²,,,,,1.0,,,1.0,,,,
505,1.0,1.0,1.0,32 m²,,25 July 2020,108912664,2000000.0000,"16 Bree St, Cape Town City Centre, Cape Town",Apartment / Flat,32 m²,,1.0,1.0,1.0,,,,,,,,
506,3.0,7.0,,,,19 August 2020,109004910,2100000.0000,"Bridgetown, Cape Town",House,284 m²,,,1.0,,,,,,,,,
507,1.0,1.0,,,,25 February 2020,108487868,1095000.0000,"Diep River, Cape Town",Apartment / Flat,52 m²,,1.0,,,,,,,,,,
508,1.0,,,42 m²,,20 July 2020,108887823,1350000.0000,"70 Queen Victoria Street, Gardens, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,,
509,1.0,,1.0,,,17 August 2020,108997423,1680000.0000,"261 High Level Road, Sea Point, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
510,2.0,2.0,1.0,65 m²,,19 July 2020,108887048,2295000.0000,"3a Howe St Observatory 7925, Observatory, Cape Town",Apartment / Flat,65 m²,,2.0,1.0,,1.0,,,,,,,
511,2.5,3.0,,102 m²,1.0,13 August 2020,108981896,1895000.0000,"Observatory, Cape Town",House,,,1.0,,1.0,,,,,,,,
512,11.0,33.0,,,2.0,18 June 2020,108774613,25000000.0000,"74 New Church Street, Tamboerksloof, Gardens, Cape Town",House,1 930 m²,1.0,,1.0,,,,,,,,,
513,2.5,3.0,,244 m²,2.0,11 July 2020,108860499,8496000.0000,"Green Point, Cape Town",House,,,,,1.0,,,,,,,,
514,1.0,0.5,,,,06 August 2020,108958289,1325000.0000,"B916b The Claremont 53 Main Road, Claremont, Cape Town",Apartment / Flat,,,1.0,1.0,,,,,,,,,
515,1.0,2.0,,,,18 August 2020,109000838,1950000.0000,"17 Trill Road, Observatory, Cape Town",House,106 m²,,,,,,,,,,,,
516,1.0,2.0,,49 m²,,10 July 2020,108858196,800000.0000,"10 8th Avenue, Lotus River, Cape Town",Townhouse,7 488 m²,1.0,1.0,,1.0,,,,,,,,
517,1.5,1.0,,60 m²,,20 July 2020,108888538,1900000.0000,"Gardens, Cape Town",Apartment / Flat,,,,,,,,1.0,,,,,
518,1.0,1.0,,62 m²,,07 June 2020,108715828,2350000.0000,"24 Kei Apple Road, Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,,
519,2.0,4.0,,,,11 August 2020,108974566,2295000.0000,"Thornton, Cape Town",House,606 m²,1.0,4.0,,1.0,,,,,,,,
520,2.0,2.0,,66 m²,,25 June 2020,108800337,1950000.0000,"Kenilworth, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
521,2.0,2.0,,129 m²,2.0,25 May 2020,108682258,4295000.0000,"1 Campground Road, Claremont Upper, Cape Town",Apartment / Flat,,,,,,1.0,,1.0,,,,,
522,2.0,2.0,,81 m²,,22 July 2020,108900627,2100000.0000,"Claremont Upper, Cape Town",Apartment / Flat,,,,1.0,,,2.0,,,,,,
523,1.0,3.0,,82 m²,,12 September 2020,109109589,4950000.0000,"Camps Bay, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
524,2.0,3.0,,140 m²,1.0,25 June 2020,108798719,2250000.0000,"10 Eastlake Island Way, Marina Da Gama, Cape Town",Townhouse,221 m²,1.0,,,,,1.0,,,,,,
525,3.0,4.0,,129 m²,2.0,22 July 2020,108901319,3495000.0000,"Harfield Village, Cape Town",House,511 m²,1.0,,1.0,,,,,1.0,,,,
526,2.0,2.0,,103 m²,,20 May 2020,108675158,3200000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
527,2.0,3.0,,151 m²,1.0,22 July 2020,108900459,3500000.0000,"Wynberg Upper, Cape Town",House,446 m²,,1.0,,1.0,,,,,,,,
528,2.0,3.0,,538 m²,1.0,27 August 2020,107321530,4950000.0000,"Newlands, Cape Town",House,,1.0,1.0,1.0,1.0,,,,,,,,
529,3.0,9.0,,,3.0,12 August 2020,108976226,3750000.0000,"Fairways, Cape Town",House,496 m²,,3.0,,1.0,,,,,,,,
530,4.0,4.0,,199 m²,2.0,17 January 2020,108331512,8750000.0000,"Claremont Upper, Cape Town",House,496 m²,,,1.0,,,2.0,,,,,,
531,4.0,4.0,,400 m²,2.0,01 July 2020,107381493,39995000.0000,"56 Camps Bay Drive, Camps Bay, Cape Town",House,514 m²,,,1.0,,,,,,,,,
532,1.0,0.5,,39 m²,,18 August 2020,109001813,1699900.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,1.0,,1.0,,,,,
533,3.0,3.0,,,2.0,13 August 2020,108982808,2695000.0000,"Athlone, Cape Town",House,545 m²,,1.0,,1.0,,,,,,,,
534,2.0,2.0,,118 m²,,25 June 2020,108800785,5895000.0000,"Sea Point, Cape Town",Apartment / Flat,1 188 m²,1.0,2.0,,,1.0,,,,,,,
535,1.0,0.5,,42 m²,1.0,31 May 2020,108694622,1795000.0000,"85 Albert Street, Woodstock, Cape Town",Apartment / Flat,,,,1.0,,1.0,,,,,,,
536,1.0,1.0,1.0,39 m²,,20 July 2020,108891378,1350000.0000,"Gardens, Cape Town",Apartment / Flat,39 m²,,1.0,,,,,,,,,,
537,1.0,2.0,,116 m²,,29 August 2020,107437616,4500000.0000,"Sea Point, Cape Town",Apartment / Flat,,,2.0,,,,,,,,,,
538,3.0,4.0,,,1.0,06 August 2020,108957863,4750000.0000,"3 St Joans Road Timour Hall, Plumstead, Cape Town",House,496 m²,1.0,,1.0,,,2.0,,,,,,
539,1.0,2.0,1.0,84 m²,1.0,25 July 2020,108912119,1750000.0000,"10 Glen Roy Road Glen Roy Close, Pinelands, Cape Town",Apartment / Flat,,1.0,1.0,,1.0,,,,,,,,
540,2.0,2.0,1.0,99 m²,,19 July 2020,108887287,4400000.0000,"Mouille Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
541,3.0,3.0,,,2.0,23 July 2020,108904885,7600000.0000,"Newlands, Cape Town",House,446 m²,,,1.0,1.0,,,,,,,,
542,5.0,5.0,,716 m²,2.0,01 June 2020,108698070,25500000.0000,"36 De Hoop Avenue, Tamboerskloof, Cape Town",House,498 m²,,,1.0,,,,,1.0,,,,
543,1.0,1.0,,,,08 September 2020,109088315,1295000.0000,"7 Churchill Mansions, Trill Road, Observatory, Cape Town, Observatory, Cape Town",Apartment / Flat,,,,,,,,,,,,,
544,2.0,2.0,1.0,106 m²,,25 May 2020,108683631,3995000.0000,"4 Milton Road, Sea Point, Cape Town",Apartment / Flat,106 m²,,1.0,,1.0,,,,,,,,
545,9.0,10.0,,980 m²,,19 December 2017,105893431,13000000.0000,"10 Thaxter Road, Lakeside, Cape Town",House,1 549 m²,1.0,10.0,1.0,,,,,,,,,
546,3.5,4.0,,,2.0,23 July 2020,108903826,13900000.0000,"Camps Bay, Cape Town",House,497 m²,1.0,,1.0,1.0,,,,,,,,
547,1.0,2.0,,68 m²,,22 July 2020,108902021,2250000.0000,"Claremont Upper, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
548,3.0,3.0,1.0,,2.0,30 July 2020,108933041,6450000.0000,"19 Cedar Road, Newlands, Cape Town",House,366 m²,1.0,1.0,,,,,,,,,,
549,1.0,1.0,,57 m²,,28 July 2020,108923006,1250000.0000,"Pinelands, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
550,2.0,2.0,,111 m²,,07 August 2020,108961034,4295000.0000,"Green Point, Cape Town",Apartment / Flat,,,2.0,1.0,,,,,,,,,
551,1.0,0.5,,30 m²,1.0,04 March 2020,108531387,1295000.0000,"40 Buitenkant Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,1.0,,,,,,,
552,2.0,2.0,,89 m²,,21 August 2020,109016556,5700000.0000,"Camps Bay, Cape Town",Apartment / Flat,,1.0,1.0,1.0,,1.0,,,,,,,
553,1.0,1.0,,71 m²,,31 July 2020,108935942,1825000.0000,"5 Howe, Observatory, Cape Town",Apartment / Flat,,,2.0,,,,,,,,,,
554,2.0,2.0,,102 m²,2.0,03 June 2020,108702003,3700000.0000,"24 Hans Strijdom, Foreshore, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
555,1.0,2.0,,81 m²,,16 September 2020,109126352,399000.0000,"Factreton, Cape Town",Townhouse,249 m²,,,,,,,,,,,,
556,1.0,2.0,,54 m²,,31 July 2020,108936031,2500000.0000,"Zonnebloem, Cape Town",Apartment / Flat,,,1.0,1.0,1.0,,,,,,,,
557,1.0,1.0,,67 m²,1.0,27 May 2020,108687358,2370000.0000,"24 Hans Strijdom Avenue, Foreshore, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
558,,,,,,30 June 2020,108814445,,"17 Cambridge Road, Maitland, Cape Town",House,765 m²,,,,,,,,,,,,
559,1.0,2.0,1.0,,,12 August 2020,108976328,799000.0000,"Maitland, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
560,1.0,1.0,,185 m²,,31 July 2020,108936818,17750000.0000,"Camps Bay, Cape Town",Apartment / Flat,,,1.0,1.0,,,,,,,,,
561,1.0,2.0,,72 m²,,05 August 2020,108953189,1620000.0000,"Gardens, Cape Town",Apartment / Flat,,,,,,1.0,,1.0,,,,,
562,3.0,3.0,,208 m²,2.0,02 November 2018,106912555,8995000.0000,"30a First Crescent, Camps Bay, Cape Town",Townhouse,,,4.0,1.0,1.0,,,,,,,,
563,1.5,2.0,,81 m²,1.0,14 July 2020,108870493,1225000.0000,"80 Main Road, Plumstead, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
564,2.0,2.0,,87 m²,2.0,10 June 2020,108730391,3649000.0000,"20 Riebeek Street, Cape Town City Centre, Cape Town",Apartment / Flat,3 211 m²,,,1.0,,,,,,,,,
565,3.0,4.0,,,,15 June 2020,108763288,3999975.0000,"1 Reform Road, Newlands, Cape Town",House,310 m²,1.0,,,,,,,,,,,
566,1.0,1.0,1.0,42 m²,,17 July 2020,108885129,1600000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
567,,,,,,26 August 2020,109033564,1450000.0000,"5 Hope Road, Rosebank, Cape Town",Apartment / Flat,,,,,,,,,,,,,
568,1.0,,,,,28 August 2020,109042908,1050000.0000,"Mowbray, Cape Town",Apartment / Flat,35 m²,1.0,1.0,,,,,,,,,,
569,1.0,2.0,,,1.0,09 September 2020,109094984,2100000.0000,"28 Sunset Crescent, Pinelands, Cape Town",House,311 m²,,1.0,,,,,,,,,,
570,4.0,4.0,,,3.0,24 June 2020,108795944,23950000.0000,"Fresnaye, Cape Town",House,1 041 m²,,,,,,,,1.0,,,,
571,2.0,2.0,,103 m²,,25 May 2020,108684004,1795000.0000,"31 Dublin Street, Woodstock, Cape Town",House,134 m²,1.0,,,,,,,,,,,
572,1.0,1.0,,48 m²,,17 July 2020,108884783,1345000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
573,5.0,5.0,1.0,,1.0,28 August 2020,109042182,,"Llandudno, Cape Town",House,,,4.0,,,,,,1.0,,,,
574,2.5,2.0,,141 m²,,21 July 2020,108895933,7950000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
575,1.0,3.0,,,1.0,08 August 2020,108966624,2950000.0000,"Claremont, Cape Town",House,411 m²,1.0,,,,,5.0,,,,,,
576,1.0,1.0,,43 m²,,29 July 2019,107762198,1595000.0000,"66 Keerom Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
577,3.0,5.0,,,,26 August 2020,109031493,2250000.0000,"Belthorne Estate, Cape Town",House,561 m²,,,,,,,,,,,,
578,4.0,5.0,,,2.0,10 August 2020,108968966,7950000.0000,"Rondebosch, Cape Town",Townhouse,,,,,,,,,,,,,
579,1.0,2.0,,106 m²,1.0,01 August 2020,108938339,3999999.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,,
580,1.0,1.0,,76 m²,,12 August 2020,107709915,2450000.0000,"De Waterkant, Cape Town",Apartment / Flat,,,,,,,,,,,,,
581,2.5,2.0,,,1.0,26 August 2020,109033596,7995000.0000,"Camps Bay, Cape Town",Townhouse,,,,1.0,,1.0,,,,,,,
582,2.0,2.0,,82 m²,1.0,30 July 2020,108931651,1695000.0000,"Pinelands, Cape Town",Apartment / Flat,,1.0,,,,1.0,,,,,,,
583,4.0,5.0,,550 m²,2.0,22 June 2020,108787812,10500000.0000,"8 Wayside Road, Rondebosch, Cape Town",House,1 143 m²,,,1.0,,,6.0,,,,,,
584,2.0,2.0,,74 m²,,05 June 2020,108713231,2450000.0000,"48 Shortmarket Street, Cape Town City Centre, Cape Town",Apartment / Flat,74 m²,,,1.0,,,1.0,,,,,,
585,2.5,4.0,,,,30 July 2020,108929479,1800000.0000,"Grassy Park, Cape Town",House,469 m²,,9.0,,,,,,,,,,
586,5.0,4.0,1.0,248 m²,2.0,25 June 2020,108799722,9495000.0000,"16 Bradwell Road, Vredehoek, Cape Town",House,313 m²,1.0,,1.0,1.0,,,,,,,,
587,1.0,3.0,,94 m²,,05 August 2020,108955543,1099000.0000,"Southfield, Cape Town",Apartment / Flat,984 m²,,1.0,,,,,,,,,,
588,2.0,2.0,,99 m²,,03 August 2020,108941100,6500000.0000,"The Yacht Club, Dock Rail Road, Foreshore, Cape Town",Apartment / Flat,,,1.0,1.0,,,,,,,,,
589,1.0,1.0,,49 m²,,07 July 2020,108840362,1499000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,1.0,,,,,
590,1.0,2.0,,59 m²,,03 June 2020,108704425,1395000.0000,"64 Sir Lowry Road, Zonnebloem, Cape Town",Apartment / Flat,59 m²,,,,,,,,,,,,
591,3.0,3.0,,,1.0,18 June 2020,108776071,5450000.0000,"10 Cherry Street, Newlands, Cape Town",House,625 m²,1.0,,,1.0,,1.0,,,,,,
592,3.0,3.0,,279 m²,2.0,05 February 2019,107165128,13500000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,,
593,2.0,2.0,,72 m²,,19 August 2020,109005542,2995000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
594,1.0,1.0,,49 m²,,12 November 2019,108157512,1750000.0000,"34 St Georges Mall, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
595,2.0,3.0,,160 m²,1.0,29 July 2020,108926160,1950000.0000,"Ottery, Cape Town",House,306 m²,,,,1.0,,,,,,,,
596,2.0,2.0,1.0,100 m²,,22 May 2020,108679981,3500000.0000,"361 Main Road, Sea Point, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
597,2.0,2.0,,96 m²,,27 May 2020,108685338,3850000.0000,"277 Main Road, Sea Point, Cape Town",Apartment / Flat,,1.0,1.0,,1.0,,,1.0,,,,,
598,1.0,1.0,,69 m²,,21 May 2020,108675962,2199000.0000,"31 Mechau Street, De Waterkant, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
599,1.0,1.0,,88 m²,,22 June 2020,108787634,2350000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
600,1.0,2.0,,81 m²,,22 June 2020,108784039,2995000.0000,"Green Point, Cape Town",House,108 m²,,,,1.0,,,,,,,,
601,3.0,3.0,,146 m²,1.0,16 July 2020,108879379,2850000.0000,"Wynberg Upper, Cape Town",Townhouse,,1.0,1.0,,,,,,,,,,
602,1.0,1.5,,109 m²,,23 July 2020,108905401,6500000.0000,"281 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
603,1.0,2.0,,69 m²,2.0,22 June 2020,108786807,1950000.0000,"Gardens, Cape Town",Apartment / Flat,,,,,,,,,,,,,
604,1.0,2.0,,82 m²,1.0,28 February 2020,108511519,3450000.0000,"131 Somerset Road, Green Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,,
605,1.0,2.0,,,1.0,09 July 2020,108850713,3450000.0000,"15 Bennet Street, De Waterkant, Cape Town",Apartment / Flat,76 m²,,,,,,,1.0,,,,,
606,1.0,1.0,,49 m²,,20 July 2020,108891314,1150000.0000,"Vredehoek, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
607,2.0,2.0,,,,21 July 2020,108894156,2995000.0000,"Claremont Upper, Cape Town",House,153 m²,,2.0,,,,,,,,,,
608,1.0,1.0,,,,29 August 2020,109045238,1350000.0000,"Woodstock, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
609,1.5,1.0,,118 m²,2.0,04 August 2020,108950114,3500000.0000,"Claremont Upper, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
610,2.5,4.0,,192 m²,2.0,06 January 2020,108290652,23950000.0000,"2 Victoria Road, 1 Villa Cap D' Afrique, Clifton, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
611,1.0,1.0,,,,25 August 2020,109026856,2900000.0000,"Green Point, Cape Town",Apartment / Flat,,,2.0,1.0,,1.0,,,,,,,
612,1.0,1.0,,106 m²,,31 March 2020,108607795,2290000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
613,1.0,1.0,1.0,64 m²,,18 July 2020,108885562,2550000.0000,"Foreshore, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
614,1.0,2.0,,82 m²,,17 July 2020,108883852,2995000.0000,"Green Point, Cape Town",Apartment / Flat,,,2.0,,,,,,,,,,
615,2.0,2.0,,,,08 September 2020,109087849,2950000.0000,"Gardens, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
616,1.0,1.0,,,1.0,07 July 2020,108841892,2150000.0000,"Woodstock, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
617,2.0,2.0,,163 m²,1.0,05 June 2020,107679356,5250000.0000,"4 Exner Road, Vredehoek, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,,
618,2.0,2.0,,65 m²,,03 August 2020,106653090,2695000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,,
619,1.0,1.0,1.0,40 m²,,08 July 2020,108848395,1150000.0000,"42 Kotzee Road, Observatory, Cape Town",Apartment / Flat,40 m²,1.0,,,,,,,,,,,
620,,,,458 m²,,15 September 2020,109121997,14760000.0000,"Rondebosch, Cape Town",House,,,,,,,,,,,,,
621,2.5,3.0,,150 m²,1.0,21 May 2020,108676978,5395000.0000,"17 Mutley Road, Sea Point, Cape Town",House,129 m²,,,,1.0,,,,,,,,
622,3.0,3.0,,146 m²,1.0,16 July 2020,108879136,2650000.0000,"Wynberg Upper, Cape Town",Townhouse,,1.0,1.0,,,,,,,,,,
623,1.0,1.0,,38 m²,1.0,06 June 2020,108715027,1790000.0000,"54 Keerom Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,1.0,,,,,,,
624,2.0,3.0,,,1.0,07 September 2020,109073114,600000.0000,"Pelican Park, Cape Town",House,83 m²,,1.0,,,,,,,,,,
625,1.5,2.0,,54 m²,,29 July 2020,108926387,2400000.0000,"Zonnebloem, Cape Town",Apartment / Flat,,,1.0,1.0,1.0,,,,,,,,
626,3.0,3.0,,146 m²,1.0,16 July 2020,108878650,2650000.0000,"Wynberg Upper, Cape Town",Townhouse,,1.0,1.0,,,,,,,,,,
627,2.0,3.0,,250 m²,,27 July 2020,108917768,3995000.0000,"Observatory, Cape Town",House,250 m²,,2.0,1.0,1.0,,,,1.0,,,,
628,2.0,2.0,,83 m²,,07 August 2020,108961709,3750000.0000,"Green Point, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
629,1.0,2.0,,77 m²,1.0,14 August 2020,108988633,2500000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
630,3.0,3.0,,206 m²,,31 July 2020,108935107,8900000.0000,"Bantry Bay, Cape Town",Townhouse,571 m²,1.0,,,,,,,,,,,
631,1.5,2.0,,50 m²,,29 July 2020,108926322,1980000.0000,"Zonnebloem, Cape Town",Apartment / Flat,,,1.0,1.0,1.0,,,,,,,,
632,1.0,1.0,,47 m²,,16 July 2020,108879553,1350000.0000,"Kenilworth Upper, Cape Town",Apartment / Flat,47 m²,,1.0,,,,,,,,,,
633,3.0,5.0,,,2.0,19 August 2020,109005836,2500000.0000,"50 Pavo Street, Surrey Estate, Cape Town",House,,,4.0,1.0,,,,,1.0,,,,
634,3.5,4.0,,,2.0,30 June 2020,108816060,8250000.0000,"18a Constance Road, Claremont Upper, Cape Town",House,495 m²,1.0,,1.0,,,,,,,,,
635,2.0,4.0,,152 m²,1.0,22 May 2020,108678031,2150000.0000,"7 Zee Close, Marina Da Gama, Cape Town",House,527 m²,1.0,3.0,1.0,,,,,,,,,
636,2.0,1.0,,78 m²,,22 July 2020,108902342,2850000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,77 m²,,1.0,1.0,1.0,,,,,,,,
637,3.0,3.0,,,1.0,14 July 2020,108866659,9995000.0000,"Green Point, Cape Town",House,561 m²,1.0,3.0,,,,,,,,,,
638,1.0,2.0,,80 m²,1.0,16 July 2020,108877029,1990000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
639,2.0,2.0,,89 m²,2.0,26 July 2020,108913570,4299000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
640,2.5,2.0,,181 m²,2.0,20 June 2020,108782301,9950000.0000,"35 Main Road, Green Point, Cape Town",Apartment / Flat,687 m²,,,,,,,,,,,,
641,2.5,3.0,,142 m²,1.0,31 July 2020,108934132,11500000.0000,"Camps Bay, Cape Town",House,142 m²,1.0,1.0,1.0,1.0,,,,,,,,
642,2.5,3.0,,,,10 June 2020,108729821,5395000.0000,"55 Hofmeyr Street, Oranjezicht, Cape Town",House,148 m²,,,,,,,,,,,,
643,1.0,3.0,,101 m²,,21 July 2020,108893136,2100000.0000,"Woodstock, Cape Town",House,,,,,1.0,,,,,,,,
644,2.0,4.0,,,2.0,11 August 2020,108974021,2795000.0000,"Pinelands, Cape Town",House,838 m²,1.0,,1.0,,,,,,,,,
645,1.0,1.0,,48 m²,,21 May 2020,108676202,2495000.0000,"22 Riebeek Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
646,2.0,6.0,,127 m²,,17 August 2020,108993821,2350000.0000,"Woodstock, Cape Town",House,,,,,,,,,,,,,
647,2.0,3.0,,225 m²,1.0,29 July 2020,108924246,1650000.0000,"Belhar, Cape Town",House,517 m²,,1.0,,1.0,,,,,,,,
648,3.5,3.0,,,2.0,11 August 2020,108972356,7000000.0000,"Claremont Upper, Cape Town",House,184 m²,1.0,,1.0,,,,,,,,,
649,3.0,3.0,,,1.0,31 July 2020,108933915,5250000.0000,"Bantry Bay, Cape Town",House,287 m²,1.0,,,,,,,,,,,
650,4.0,4.0,,175 m²,4.0,15 July 2020,108875811,2950000.0000,"Athlone, Cape Town",House,498 m²,1.0,,,,,2.0,,1.0,,,,
651,2.0,3.0,,,1.0,16 July 2020,108879546,2800000.0000,"19 Bahia Bay, Cap Michel Close, Muizenberg, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
652,3.5,3.0,,175 m²,2.0,20 June 2020,108781559,6750000.0000,"Sea Point, Cape Town",Apartment / Flat,200 m²,,,1.0,,,,,,,,,
653,1.0,1.0,1.0,43 m²,,19 May 2020,108670875,1395000.0000,"26 Davenport Road, Vredehoek, Cape Town",Apartment / Flat,43 m²,,,,,,,,,,,,
654,1.0,1.0,,57 m²,1.0,13 August 2020,106447340,2895000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
655,1.0,1.0,,45 m²,,16 July 2020,108878921,1780000.0000,"Gardens, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
656,1.0,1.0,,41 m²,,09 July 2020,108850548,2150000.0000,"16 On Bree, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,1.0,,,,,,,,
657,1.0,2.0,,46 m²,,16 July 2020,108877816,845000.0000,"Muizenberg, Cape Town",Apartment / Flat,9 083 m²,1.0,,1.0,,,1.0,,,,,,
658,2.0,3.0,,104 m²,,16 September 2020,109125277,1300000.0000,"Muizenberg, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,,
659,1.0,2.0,,70 m²,,20 May 2020,108673450,4750000.0000,"1 Horak Avenue, Camps Bay, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
660,2.0,2.0,,106 m²,,23 July 2020,106867636,4495000.0000,"Foreshore, Cape Town",Apartment / Flat,,,,,,,,,,,,,
661,1.5,2.0,,115 m²,,29 July 2020,108927052,2499999.0000,"Kenilworth, Cape Town",Townhouse,,1.0,2.0,,,,,,,,,,
662,1.0,2.0,,,,28 July 2020,108922935,2295000.0000,"Kenilworth, Cape Town",House,165 m²,,2.0,,1.0,,,,,,,,
663,1.0,0.5,,48 m²,,19 August 2020,109007703,1850000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,1.0,,,,,
664,1.0,1.0,,83 m²,,27 March 2020,108604676,14000000.0000,"54 Victoria Road, Clifton, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
665,1.0,3.0,,,1.0,23 August 2020,109020310,2785000.0000,"Zonnebloem, Cape Town",House,185 m²,1.0,,,,,,,,,,,
666,3.5,3.0,1.0,163 m²,,25 July 2020,108912725,13000000.0000,"16 Bree St, Cape Town City Centre, Cape Town",Apartment / Flat,163 m²,,2.0,1.0,1.0,,,,,,,,
667,1.0,1.0,,,,24 August 2020,109020919,380000.0000,"Lavender Hill, Cape Town",House,191 m²,,1.0,,,,,,,,,,
668,1.0,2.0,,124 m²,,04 August 2020,108949494,1750000.0000,"Salt River, Cape Town",House,124 m²,,,,1.0,,,,,,,,
669,1.0,0.5,1.0,36 m²,,22 June 2020,108785967,1095000.0000,"225 Main Road, Claremont, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,,
670,1.0,1.0,,43 m²,,21 April 2020,108630634,1450000.0000,"66 Keerom Street, Cape Town City Centre, Cape Town",Apartment / Flat,43 m²,,1.0,,,1.0,,1.0,,,,,
671,1.0,1.0,,42 m²,,31 July 2020,108937450,2500000.0000,"Cape Town City Centre, Cape Town",House,,1.0,1.0,1.0,,1.0,,1.0,,,,,
672,2.5,2.0,,178 m²,,17 May 2020,108667023,19995000.0000,"46 Victoria Road, Bantry Bay, Cape Town",Apartment / Flat,,,,,,,,,,,,,
673,1.0,1.0,,49 m²,,13 August 2020,108982539,3200000.0000,"46 37 Beach Road, Mouille Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
674,1.0,3.0,,,,09 August 2020,108967436,3250000.0000,"Pinelands, Cape Town",House,818 m²,,7.0,1.0,,,,,,,,,
675,1.0,1.0,,60 m²,,21 May 2020,108676681,2890000.0000,"23 Bellair Road, Vredehoek, Cape Town",Apartment / Flat,,,2.0,,,,,,,,,,
