,Bathrooms,Bedrooms,Fibre Internet,Floor Size,Garages,Listing Date,Listing Number,Price,Town,Type of Property,Erf Size,Garden,Parking,Pool,Pet Friendly,No Pets Allowed,Secure Parking,Furnished,Flatlet,ADSL Internet,Furnished (Optional),Satellite Internet,Fixed WiMax Internet
277,1.0,0.5,,,,01 September 2020,109054679,1505000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,1.0,,,
278,4.0,4.0,,212 m²,1.0,27 July 2020,104840017,15900000.0000,"Bakoven, Cape Town",House,323 m²,,,1.0,,,,,1.0,,,,
279,1.0,2.0,,,,19 August 2020,109007553,1950000.0000,"Rondebosch East, Cape Town",House,185 m²,,4.0,,1.0,,,,,,,,
280,2.0,4.0,1.0,,1.0,11 August 2020,108971790,2795000.0000,"Southfield, Cape Town",House,498 m²,,3.0,,,,,,,,,,
281,3.0,3.0,,182 m²,1.0,29 June 2020,108809698,2390000.0000,"1 Dabchick Quay Street, Marina Da Gama, Cape Town",House,333 m²,1.0,,,,,,,,,,,
282,1.0,0.5,,50 m²,1.0,06 August 2020,108957113,1399000.0000,"Salt River, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
283,1.0,1.0,,45 m²,,28 July 2020,108919988,1275000.0000,"174 Milner Road, Claremont, Cape Town",Apartment / Flat,,,1.0,1.0,,,,,,,,,
284,3.0,3.0,,,2.0,31 July 2020,108936952,8950000.0000,"Bishopscourt, Cape Town",House,1 283 m²,1.0,,1.0,,,5.0,,1.0,,,,
285,2.0,2.0,,124 m²,2.0,30 July 2020,108929765,5900000.0000,"303 Crystal Waters, 7-11 Dover Street, Sea Point, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,,
286,2.0,3.0,,154 m²,2.0,03 July 2020,108830370,2695000.0000,"Heathfield, Cape Town",House,440 m²,,5.0,,1.0,,,,,,,,
287,1.0,0.5,,42 m²,,30 June 2020,108815018,1495000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
288,1.0,2.0,,79 m²,,15 July 2020,108874364,2950000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
289,1.0,3.0,,,1.0,11 September 2020,109104565,1200000.0000,"Charlesville, Cape Town",House,,,,,,,,,,,,,
290,1.0,1.0,,54 m²,1.0,10 June 2020,108728638,2995000.0000,"805 Chartleigh House, 189 Beach Road, Three Anchor Bay, Cape Town",Apartment / Flat,,,,,,,,,,,,,
