,Bathrooms,Bedrooms,Floor Size,Listing Date,Listing Number,Price,Town,Type of Property,Furnished,Parking,Pet Friendly,Pool,No Pets Allowed,Erf Size,Garages,Garden,Secure Parking,Fibre Internet,Flatlet,Satellite Internet,ADSL Internet
1728,4.0,6.0,420 m²,16 May 2019,107501525,9800000.0000,"Kalk Bay, Cape Town",House,,,,1.0,,1 177 m²,2.0,1.0,,,1.0,,
1729,1.0,,33 m²,14 November 2019,108170700,1679000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1730,1.5,3.0,,11 June 2020,108734416,2400000.0000,"Thornton, Cape Town",House,,4.0,1.0,1.0,,598 m²,3.0,,,,,,
1731,2.0,2.0,205 m²,19 December 2019,108277640,7950000.0000,"Green Point, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
1732,2.0,2.0,100 m²,24 October 2017,105733336,4900000.0000,"Three Anchor Bay, Cape Town",Apartment / Flat,,,,,,,,,2.0,,,,
1733,2.0,3.0,196 m²,27 September 2019,104467901,2607683.0000,"Philadelphia, Cape Town",House,,1.0,,,,360 m²,2.0,1.0,,,,,
1734,4.0,4.0,,28 January 2020,108374482,3750000.0000,"Lakeside, Cape Town",House,,3.0,,,,398 m²,1.0,1.0,,1.0,,,
1735,7.0,11.0,633 m²,24 December 2019,108282415,18900000.0000,"Fresnaye, Cape Town",House,,,,,,633 m²,4.0,,,,,,
1736,2.0,2.0,88 m²,23 October 2018,106876182,5850000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,1.0,2.0,,1.0,1.0,,,,,,,,
1737,5.0,5.0,733 m²,26 February 2020,108494433,40000000.0000,"Camps Bay, Cape Town",House,,3.0,,1.0,,734 m²,2.0,1.0,,,,,
1738,1.0,2.0,81 m²,07 November 2019,108144150,3650000.0000,"Foreshore, Cape Town",Apartment / Flat,1.0,,,1.0,,,,,,,,,
1739,1.0,1.0,35 m²,17 October 2019,108067516,1450000.0000,"Zonnebloem, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,,
1740,2.0,2.0,168 m²,19 December 2018,107045433,14500000.0000,"Green Point, Cape Town",Apartment / Flat,,2.0,,,,,,,,,,,
1741,1.0,2.0,60 m²,20 July 2018,106562960,2799000.0000,"Gardens, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
