,Bathrooms,Bedrooms,Erf Size,Floor Size,Garages,Listing Date,Listing Number,Pet Friendly,Price,Town,Type of Property,Garden,Pool,Secure Parking,Parking,No Pets Allowed,Furnished,Flatlet,Fibre Internet,Furnished (Optional),ADSL Internet,Satellite Internet
0,3.0,3.0,304 m²,326 m²,2.0,10 July 2020,108859219,1.0,6480000.0000,"Tokai, Cape Town",House,,,,,,,,,,,
1,3.0,3.0,,140 m²,2.0,23 September 2020,109153971,1.0,6250000.0000,"14 Graham Road, Sea Point, Cape Town",Townhouse,,,,,,,,,,,
2,3.5,4.0,659 m²,300 m²,2.0,23 September 2020,109154367,,13950000.0000,"Camps Bay, Cape Town",House,1.0,1.0,2.0,,,,,,,,
3,1.0,2.0,,,,23 September 2020,109154455,,1050000.0000,"Ottery, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
4,1.0,1.0,,61 m²,,23 July 2020,108907258,,1265000.0000,"Muizenberg, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
5,3.0,6.0,677 m²,,,18 September 2020,109136653,1.0,9900000.0000,"7 Breda Street, Oranjezicht, Cape Town",House,,,,8.0,,,,,,,
6,3.5,3.0,,410 m²,2.0,24 July 2020,108909235,,55000000.0000,"Waterfront, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,
7,4.5,4.0,,300 m²,,23 September 2020,109154447,1.0,15999000.0000,"Sea Point, Cape Town",Apartment / Flat,,1.0,,2.0,,,,,,,
8,1.0,1.0,,51 m²,,08 September 2020,109087490,,1385000.0000,"36 Clifford Ave, Vredehoek, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,
9,1.0,0.5,,43 m²,,07 September 2020,109072931,,1400000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,1.0,,,,,
10,1.5,2.0,,57 m²,,23 September 2020,109154135,1.0,1475000.0000,"5 Hamlet Way, Pinelands, Cape Town",Townhouse,,1.0,2.0,,,,,,,,
11,8.0,8.0,2 842 m²,650 m²,3.0,23 September 2020,109154306,1.0,20000000.0000,"Kenilworth Upper, Cape Town",House,1.0,1.0,,8.0,,1.0,,,,,
12,2.0,3.0,645 m²,,,23 September 2020,109153823,,2195000.0000,"Thornton, Cape Town",House,,,,2.0,1.0,,,,,,
13,3.0,4.0,1 085 m²,,,23 September 2020,109154445,,4450000.0000,"Tokai, Cape Town",House,,1.0,,5.0,,,,,,,
14,4.5,4.0,252 m²,,1.0,23 September 2020,109154270,1.0,4850000.0000,"12 Faure Street, Gardens, Cape Town",House,1.0,1.0,,1.0,,,1.0,,,,
15,3.0,3.0,,192 m²,2.0,24 July 2020,108909566,,28000000.0000,"Waterfront, Cape Town",Apartment / Flat,,1.0,,,1.0,1.0,,,,,
16,2.0,2.0,281 m²,140 m²,1.0,23 September 2020,109154201,1.0,4950000.0000,"Sea Point, Cape Town",House,,1.0,,,,,,,,,
17,2.0,2.0,209 m²,106 m²,1.0,25 July 2020,108912704,,2500000.0000,"Harfield Village, Cape Town",House,,1.0,,,,,,,,,
18,1.0,3.0,,,1.0,23 September 2020,109154145,,690000.0000,"Parkwood, Cape Town",House,,,,5.0,,,,,,,
19,1.0,2.0,,86 m²,,23 September 2020,109153982,,3500000.0000,"16 Fir Avenue, Bantry Bay, Cape Town",Apartment / Flat,,,,,,,,,,,
20,1.0,2.0,,,1.0,23 September 2020,109153799,,1500000.0000,"Kenilworth, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,
21,2.0,4.0,651 m²,180 m²,1.0,23 September 2020,109152879,,3295000.0000,"Diep River, Cape Town",House,1.0,1.0,,,,,,,,,
22,1.0,,,40 m²,,23 July 2020,108907280,,975000.0000,"Muizenberg, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
23,2.0,3.0,818 m²,229 m²,,23 September 2020,109152592,,3200000.0000,"12 Mimosa Way, Pinelands, Cape Town",House,,,,,,,,,,,
24,1.0,,,32 m²,,23 September 2020,109153611,,1090000.0000,"64 Sir Lowry Road, Zonnebloem, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
25,2.0,4.0,256 m²,,,23 September 2020,109153376,,849000.0000,"69 Zone 21, Langa, Cape Town",House,1.0,,,2.0,,,,,,,
26,2.0,2.0,,100 m²,,23 September 2020,109153579,1.0,3750000.0000,"88 Constantia Main Road, Wynberg Upper, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,
27,1.0,1.0,,,,23 September 2020,109153581,,720000.0000,"14 First On Forest, Thornton, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
28,2.0,2.0,,65 m²,,23 September 2020,109153055,,1900000.0000,"Observatory, Cape Town",House,,1.0,,1.0,,,,,,,
29,5.0,5.0,185 m²,,,23 September 2020,107222918,,5950000.0000,"Gardens, Cape Town",House,,1.0,,,,,,,,,
30,2.0,5.0,,,,23 September 2020,109153584,,1695000.0000,"Retreat, Cape Town",House,,,,,,,,,,,
31,3.0,3.0,1 088 m²,295 m²,,23 September 2020,109153723,,13500000.0000,"Camps Bay, Cape Town",House,,,,,,,,,,,
32,1.0,1.0,,126 m²,,23 September 2020,109153468,,8500000.0000,"Waterfront, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
33,1.0,2.0,,73 m²,1.0,23 September 2020,109152871,,1825000.0000,"Lakeside, Cape Town",Townhouse,,,,1.0,,,,,,,
34,2.0,2.0,,93 m²,,23 September 2020,109152821,,5900000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,
35,7.0,6.0,,,,23 September 2020,109152978,,9250000.0000,"Green Point, Cape Town",House,1.0,,,3.0,,,,,,,
36,1.0,1.0,54 m²,54 m²,1.0,23 September 2020,109153066,,1599000.0000,"Claremont Upper, Cape Town",Apartment / Flat,,,,,,,,,,,
37,2.0,3.0,818 m²,,1.0,23 September 2020,109153312,,3250000.0000,"Pinelands, Cape Town",House,1.0,,,2.0,,,,1.0,,,
38,,,,,,23 September 2020,109152839,,895000.0000,"Barnstaple Place 2 Barnstaple Rd Wynberg, Wynberg, Cape Town",Apartment / Flat,,,,,,,,,,,
39,2.0,1.0,,67 m²,,23 September 2020,109153771,,2850000.0000,"6 Quendon Road, Sea Point, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,1.0,,1.0,,,
40,2.0,4.0,530 m²,,1.0,23 September 2020,109153366,,2395000.0000,"5 Desande Road, Southfield, Cape Town",House,1.0,1.0,,3.0,,,,1.0,,,
41,2.0,2.0,133 m²,93 m²,1.0,23 September 2020,109153009,1.0,4950000.0000,"5 Brownlow Rd, Tamboerskloof, Cape Town",Apartment / Flat,1.0,,,,,,,1.0,,,
42,1.0,2.0,,91 m²,1.0,23 September 2020,109151558,1.0,3150000.0000,"Oranjezicht, Cape Town",Apartment / Flat,,,,,,,,,,,
43,2.0,2.0,,143 m²,,23 September 2020,109152082,,12995000.0000,"Waterfront, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,
44,2.0,2.0,,84 m²,,22 September 2020,109150743,1.0,4750000.0000,"7 On T Thornhill Road, Green Point, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,
45,1.0,3.0,263 m²,105 m²,1.0,23 September 2020,109151857,,2495000.0000,"Kenilworth, Cape Town",House,1.0,,,,,,,,,,
46,1.0,1.0,,61 m²,,23 July 2020,108907279,,1265000.0000,"Muizenberg, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
47,3.0,3.0,144 m²,144 m²,,22 September 2020,109148820,,7950000.0000,"21 Fir Avenue, Bantry Bay, Cape Town",Apartment / Flat,,,2.0,,,,,,,,
48,3.0,3.0,421 m²,,2.0,22 September 2020,109150356,,2400000.0000,"18 Cox Crescent, Mountview, Cape Town",House,,1.0,,2.0,,,,,,,
49,3.5,3.0,,301 m²,,17 April 2018,106249560,,9950000.0000,"1 Victoria Road, Camps Bay, Cape Town",Apartment / Flat,,,2.0,,,,,,,,
50,2.0,3.0,434 m²,127 m²,1.0,22 September 2020,109149905,1.0,1295000.0000,"Charlesville, Cape Town",House,1.0,,,3.0,,,,,,,
51,2.0,2.0,,73 m²,,23 September 2020,105778949,,2795000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
52,3.5,3.0,,261 m²,1.0,23 September 2020,109151866,,15950000.0000,"Bantry Bay, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,
53,1.0,2.0,,85 m²,,22 September 2020,109150758,,1600000.0000,"28 Mile End Road, Diep River, Cape Town",Apartment / Flat,1.0,,,1.0,1.0,,,,,,
54,3.5,3.0,898 m²,,1.0,23 September 2020,109151344,,6950000.0000,"13 Avenue Thibault, Newlands, Cape Town",House,1.0,1.0,,3.0,1.0,,,,,,
55,1.0,2.0,,,,23 September 2020,109151364,,795000.0000,"Thornton, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
56,1.0,2.0,,78 m²,,23 September 2020,109151568,,2350000.0000,"Eilat, 10 Hall Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,
57,2.5,3.0,231 m²,170 m²,2.0,23 September 2020,109151766,1.0,5950000.0000,"Newlands, Cape Town",Townhouse,,,,2.0,,,,,,,
58,3.0,5.0,936 m²,150 m²,2.0,23 September 2020,109151546,,8700000.0000,"5 Springfield Close, Rondebosch, Cape Town",House,,1.0,,,,,,,,,
59,2.5,3.0,1 001 m²,303 m²,2.0,21 September 2020,109144854,,7695000.0000,"6 Weaverbird Close, Tokai, Cape Town",House,,,,4.0,,,,,,,
60,2.0,3.0,79 m²,79 m²,1.0,23 September 2020,109151160,1.0,1250000.0000,"6 St Georges Street, Muizenberg, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,
61,2.0,2.0,,159 m²,,22 September 2020,109147053,,18995000.0000,"42 Victoria Road, Bantry Bay, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
62,2.0,4.0,622 m²,148 m²,1.0,23 September 2020,109151909,,2850000.0000,"8 Denton Street, Kenwyn, Cape Town",House,,,,3.0,,,,,,,
63,1.0,1.0,,58 m²,1.0,23 September 2020,109152325,,1350000.0000,"226 Victoria Road, Woodstock, Cape Town",Apartment / Flat,,,,,,,,1.0,,,
64,1.0,1.0,41 m²,41 m²,,14 September 2020,109113863,,2495000.0000,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,
65,1.0,2.0,,75 m²,,13 September 2020,109110971,,2250000.0000,"704 The Iron Works, 242 Sir Lowry Road, Woodstock, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
66,2.0,2.0,88 m²,88 m²,,22 September 2020,109146266,,5400000.0000,"2 Dockrail Road, Foreshore, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
67,2.0,3.0,367 m²,160 m²,1.0,15 September 2020,109119922,,3850000.0000,"78 Roodebloem Road, Woodstock, Cape Town",House,,,,1.0,,,,,,,
68,11.0,11.0,938 m²,722 m²,3.0,14 September 2020,109112995,1.0,18500000.0000,"3 Capri Road Sonnekus Guest House, St James, Cape Town",House,,,,,,1.0,,,,,
69,2.0,3.0,,102 m²,1.0,16 September 2020,109123904,,4795000.0000,"4 Clyde Road, Green Point, Cape Town",Townhouse,,,,,,,,,,,
70,1.0,1.0,,67 m²,,15 September 2020,109121649,,2425000.0000,"27 Breda Street, Oranjezicht, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,
71,1.0,1.0,,61 m²,,17 September 2020,109131219,,2850000.0000,"57 Prestwich Street, De Waterkant, Cape Town",Apartment / Flat,,1.0,2.0,,,,,,,,
72,2.0,2.0,,128 m²,,14 September 2020,109114362,,4295000.0000,"2a Avenue Francaise Street, Fresnaye, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
73,4.0,4.0,747 m²,275 m²,2.0,11 September 2020,109107673,,14995000.0000,"48 Spurwing, Steenberg Golf Estate, Cape Town",House,,1.0,,4.0,,,,,,,
74,3.0,3.0,171 m²,171 m²,,15 September 2020,109118778,,18800000.0000,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,2.0,,,,,,,
75,1.5,2.0,,104 m²,1.0,18 September 2020,109136644,,4550000.0000,"305 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,
76,3.0,3.0,211 m²,215 m²,,22 September 2020,109148366,1.0,3950000.0000,"76 Upper Melbourne Street, Walmer Estate, Cape Town",House,,,,1.0,,,,,,,
77,6.0,5.0,571 m²,,2.0,23 September 2020,109153521,1.0,11900000.0000,"85 Joubert Road, Green Point, Cape Town",House,1.0,1.0,2.0,,,,,,,,
78,1.0,1.0,71 m²,71 m²,,17 September 2020,109130156,,4600000.0000,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,
79,3.0,5.0,2 000 m²,451 m²,2.0,14 September 2020,109112511,,13250000.0000,"3 Firgrove Estate, 24 Ridgedale Crescent, Constantia, Cape Town",House,,,,2.0,,,,,,,
80,2.0,2.0,191 m²,191 m²,,15 September 2020,109118726,,32000000.0000,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,2.0,,,,,,,
81,1.0,0.5,43 m²,43 m²,,15 September 2020,109118910,,2590000.0000,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,
82,10.0,10.0,803 m²,500 m²,3.0,11 September 2020,109107758,1.0,5800000.0000,"18 Noble Circle, Ottery, Cape Town",House,,1.0,5.0,,,,,,,,
83,2.0,2.0,,114 m²,1.0,22 September 2020,109148312,,2495000.0000,"16811 Loop Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,1.0,,,,,,
84,1.5,2.0,,101 m²,,21 September 2020,109145001,,3300000.0000,"219 Norfolk, Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,
85,4.0,5.0,314 m²,471 m²,2.0,21 September 2018,106776554,1.0,14995000.0000,"Green Point, Cape Town",House,,1.0,,,,,,,,,
86,2.0,2.0,81 m²,81 m²,2.0,21 September 2020,109144422,,2750000.0000,"11 High Cape Avenue, Vredehoek, Cape Town",Apartment / Flat,,1.0,,,,,,1.0,,,
87,1.0,2.0,,88 m²,,21 June 2020,108783005,1.0,1350000.0000,"5 East-lee 14 Brent Road, Plumstead, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
88,2.0,3.0,2 670 m²,315 m²,2.0,21 September 2020,109141336,,8900000.0000,"3 Touraine Close, Constantia, Cape Town",House,,,,5.0,,,,,,,
89,2.0,3.0,572 m²,108 m²,1.0,23 September 2020,109152211,,2195000.0000,"4 Auriga Road, Retreat, Cape Town",House,1.0,,,1.0,,,,,,,
90,2.0,2.0,,86 m²,2.0,22 September 2020,109148517,,2800000.0000,"25 Wilderness Road, Claremont Upper, Cape Town",Apartment / Flat,,,,,,,,,,,
91,2.5,2.0,,229 m²,2.0,23 September 2020,109153453,1.0,9500000.0000,"252 Roggebaai Square, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,,,,,,,
92,4.0,4.0,991 m²,375 m²,,10 September 2020,109100167,,19800000.0000,"22 Fisherman's Bend, Llandudno, Cape Town",House,,1.0,,4.0,,,,,,,
93,1.0,1.0,,72 m²,,21 September 2020,109144901,,1995000.0000,"Dunhof, 12 Hall Road, Sea Point, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
94,2.0,2.0,,90 m²,2.0,21 September 2020,109142015,1.0,2995000.0000,"54 Roeland Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,,,,,,,
95,2.0,3.0,,107 m²,1.0,10 September 2020,109102413,,3250000.0000,"39 High Level Road, Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,
96,1.0,3.0,491 m²,199 m²,1.0,10 September 2020,109101574,1.0,2200000.0000,"112 Rotherfield Road, Plumstead, Cape Town",House,1.0,,,1.0,,,,,,,
97,2.5,2.0,,111 m²,,10 September 2020,109101732,1.0,7950000.0000,"10 Quendon Road, Sea Point, Cape Town",Apartment / Flat,,1.0,2.0,,,,,,,,
98,4.0,4.0,918 m²,276 m²,2.0,11 September 2020,109108159,,5550000.0000,"12 Alexandra Road, Wynberg Upper, Cape Town",House,1.0,1.0,,,,,,,,,
99,5.0,6.0,603 m²,440 m²,2.0,11 September 2020,109108152,,10495000.0000,"21 Eton Way, Silvertree Estate, Cape Town",House,,,2.0,,,,,,,,
100,4.5,5.0,,355 m²,,21 September 2020,109142619,,55000000.0000,"30 Victoria Road, Clifton, Cape Town",Apartment / Flat,,1.0,4.0,,,,,,,,
101,4.0,4.0,1 085 m²,,2.0,16 September 2020,109126902,,4950000.0000,"4 Gild Lane, Tokai, Cape Town",House,,,,2.0,,,,,,,
102,5.0,7.0,2 032 m²,600 m²,3.0,21 September 2020,109144431,,11500000.0000,"32 Duckitt Avenue, Constantia, Cape Town",House,,,,5.0,,,,,,,
103,1.0,1.0,,71 m²,,17 September 2020,109132414,,3299000.0000,"253 Ocean View Drive, Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
104,8.5,8.0,1 034 m²,,4.0,11 February 2020,108430362,,65000000.0000,"31 Theresa Avenue, Camps Bay, Cape Town",House,,,,4.0,,,,,,,
105,2.0,4.0,894 m²,175 m²,2.0,21 September 2020,109144752,1.0,4850000.0000,"70 Rhodes Avenue, Newlands, Cape Town",House,1.0,,,,,,,,,,
106,1.5,3.0,,97 m²,1.0,22 September 2020,109146650,,1850000.0000,"1 Shannon Mews, 24 Liesbeek Road, Rosebank, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
107,4.5,5.0,2 743 m²,,2.0,17 September 2020,109128861,1.0,11950000.0000,"119 Rathfelder Avenue, Constantia, Cape Town",House,1.0,1.0,,,,,,,,,
108,2.0,3.0,716 m²,150 m²,1.0,17 September 2020,109133849,1.0,3250000.0000,"5 Owen Drive, Meadowridge, Cape Town",House,1.0,,,1.0,,,,,,,
109,1.0,1.0,95 m²,62 m²,,17 September 2020,108356738,,1730000.0000,"Melrose Village, 8 Melrose Rd, Muizenberg, Cape Town",Apartment / Flat,1.0,1.0,,1.0,1.0,1.0,,1.0,,,
110,2.0,3.0,,226 m²,1.0,22 September 2020,109149322,,10990000.0000,"191 Beach Road, Sea Point, Sea Point, Cape Town",Apartment / Flat,1.0,,,,1.0,,,,,,
111,1.5,1.0,,106 m²,1.0,23 September 2020,109153425,,2290000.0000,"8 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,
112,2.0,2.0,126 m²,2203 m²,1.0,23 September 2020,109152267,,5495000.0000,"2 Gorleston Road, Fresnaye, Cape Town",Apartment / Flat,,,,,,,,,,,
113,1.0,1.0,,68 m²,,21 September 2020,109142724,1.0,1700000.0000,"267 Victoria Road, Salt River, Cape Town",Apartment / Flat,,,,,,,,,,,
114,2.0,2.0,,159 m²,,22 September 2020,109148523,1.0,19995000.0000,"Parergon, Dock Road, Waterfront, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,
115,1.5,2.0,,101 m²,1.0,17 September 2020,109130955,,4295000.0000,"14 Milton Road, Sea Point, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,
116,3.5,4.0,267 m²,400 m²,,20 September 2020,109139855,1.0,7950000.0000,"9 Herbert Road, Sea Point, Cape Town",House,1.0,1.0,,,,,,,,,
117,2.0,2.0,,100 m²,4.0,06 September 2020,109070929,,3650000.0000,"10 Hospital Road, De Waterkant, Cape Town",Apartment / Flat,,,,,,,,,,,
118,2.0,2.0,,73 m²,,22 September 2020,109149972,,2595000.0000,"21 Aandbloem Street, Vredehoek, Cape Town",Apartment / Flat,,,,2.0,,,,,,,
119,2.0,3.0,840 m²,117 m²,1.0,08 September 2020,109088929,,2600000.0000,"8 Cranko Avenue, Kirstenhof, Cape Town",House,,1.0,,2.0,,,,,,,
120,1.0,3.0,,87 m²,1.0,18 September 2020,109134744,1.0,2095000.0000,"22 Hayworth Way, Kirstenhof, Cape Town",Townhouse,,,,1.0,,,,,,,
121,1.0,2.0,88 m²,88 m²,,18 September 2020,109137290,1.0,3650000.0000,"22 Woodside Rd Tamboerskloof, Tamboerskloof, Cape Town",Apartment / Flat,,,,1.0,,,,,1.0,,
122,1.0,3.0,104 m²,104 m²,1.0,18 September 2020,109136341,,2995000.0000,"27 Breda Street, Oranjezicht, Cape Town",Apartment / Flat,1.0,1.0,,,,,,1.0,,,
123,1.0,2.0,,89 m²,,17 September 2020,109133832,,4895000.0000,"23 Main Road, Green Point, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,1.0,,,,,
124,2.0,3.0,,166 m²,1.0,03 September 2020,109062134,,8950000.0000,"14 Friars Road, Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
125,1.0,1.0,,59 m²,,21 September 2020,109142248,,8500000.0000,"64 Victoria Road, Clifton, Cape Town",Apartment / Flat,,1.0,,,,,,,,,
126,2.5,2.0,,81 m²,,07 September 2020,109075473,,4150000.0000,"93 Beach Road, Mouille Point, Cape Town",Apartment / Flat,,1.0,,,,,,,,,
127,1.0,0.5,,52 m²,,14 September 2020,109115838,,1850000.0000,"367 Main Road, Sea Point, Cape Town",Apartment / Flat,1.0,,,,1.0,,,,,,
128,1.0,2.0,45 m²,45 m²,,16 September 2020,109124710,1.0,850000.0000,"14 Sunrise Boulevard, Muizenberg, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,
129,5.5,5.0,1 437 m²,623 m²,3.0,03 September 2020,109063122,,19900000.0000,"2b Warblers Grove, Warbers Way, Constantia, Cape Town",House,1.0,1.0,4.0,,,,,,,,
130,4.5,4.0,1 375 m²,640 m²,2.0,11 February 2020,108431178,,32000000.0000,"Silverhurst Estate, Cape Town",House,,,,,,,,,,,
131,3.0,4.0,729 m²,236 m²,2.0,19 September 2020,109139501,,5175000.0000,"19 Moolenberg, Rondebosch, Cape Town",House,,1.0,5.0,,,,,,,,
132,1.0,1.0,,53 m²,,16 September 2020,109125447,,1400000.0000,"124 Harrington Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
133,2.0,3.0,121 m²,112 m²,,19 September 2020,109139373,,2925000.0000,"Haven House, 2 Mains Avenue, Kenilworth Upper, Cape Town, Kenilworth Upper, Cape Town",Apartment / Flat,,,,2.0,1.0,,,1.0,,,
134,1.0,2.0,,70 m²,,16 September 2020,109125533,1.0,2350000.0000,"13 St Quintons, Oranjezicht, Cape Town",Apartment / Flat,,,,,,,,,,,
135,2.0,2.0,,75 m²,1.0,15 September 2020,109117850,,2350000.0000,"13 Grove Avenue, Claremont Upper, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,
136,2.0,3.0,495 m²,165 m²,1.0,15 September 2020,109121547,1.0,5200000.0000,"48 Almond Street, Newlands, Cape Town",House,1.0,,,1.0,,,,,,,
137,2.0,2.0,,89 m²,,04 September 2020,109068555,,2695000.0000,"32 Glynn Street, Gardens, Cape Town",Apartment / Flat,,1.0,,1.0,,,,1.0,,,
138,2.0,3.0,404 m²,145 m²,,22 September 2020,109150136,,5450000.0000,"39 Wilderness Road, Claremont, Cape Town",Apartment / Flat,1.0,1.0,2.0,,,,,,,,
139,1.0,3.0,,85 m²,,18 September 2020,109136262,,2800000.0000,"201 Main Road, Three Anchor Bay, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,
140,2.5,3.0,,270 m²,2.0,17 September 2020,109133185,,6995000.0000,"12 Clifford Road, Sea Point, Cape Town",Townhouse,,,,,,,,1.0,,,
141,1.0,1.0,54 m²,54 m²,,17 September 2020,109128426,1.0,2100000.0000,"777 Vriende St, Oranjezicht, Cape Town",Apartment / Flat,,1.0,,1.0,,,,1.0,,,
142,1.0,1.0,50 m²,50 m²,,16 September 2020,109122779,1.0,2195000.0000,"275 Beach Rd, Sea Point, Cape Town",Apartment / Flat,,,,,,1.0,,,,,
143,2.0,3.0,,138 m²,1.0,04 September 2020,109065734,1.0,3400000.0000,"18 Sir George Grey Street, Oranjezicht, Cape Town",Apartment / Flat,,,,,,,,1.0,,,
144,2.5,3.0,,174 m²,1.0,07 September 2020,109072430,,7950000.0000,"265 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,
145,3.0,2.0,,81 m²,,15 September 2020,109120840,,3175000.0000,"35 Grove Avenue, Claremont Upper, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
146,1.0,1.0,,66 m²,,06 September 2020,109071455,,2100000.0000,"210 Upper Buitenkant Street, Oranjezicht, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
147,1.0,1.0,,63 m²,1.0,16 September 2020,109127240,,1795000.0000,"31 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,
148,2.0,3.0,160 m²,141 m²,2.0,14 September 2020,109115464,,4500000.0000,"5 Roodehek Street, Gardens, Cape Town",Apartment / Flat,,,,,1.0,,,,,,
149,1.0,1.0,,80 m²,,03 September 2020,109064290,1.0,1980000.0000,"De Oude Schuur 120 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,
150,5.0,5.0,991 m²,565 m²,3.0,16 September 2020,109125561,1.0,17995000.0000,"18 Apostle Road, Llandudno, Cape Town",House,1.0,,,2.0,,,,,,,
151,2.0,3.0,312 m²,114 m²,,15 September 2020,109121205,,2500000.0000,"42 Chichester Road, Claremont, Cape Town",House,1.0,,,3.0,,,,,,,
152,1.0,2.0,,120 m²,,08 September 2020,109088481,,3799000.0000,"7 Marseilles Avenue, Fresnaye, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
153,1.0,0.5,,52 m²,1.0,13 September 2020,109111376,,1950000.0000,"367 Main Road, Sea Point, Cape Town",Apartment / Flat,1.0,,,,1.0,,,,,,
154,1.0,0.5,,45 m²,,16 September 2020,109127826,,1595000.0000,"71 High Cape Two, 11 High Cape Avenue, High Cape Estate, Vredehoek, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,
155,1.0,2.0,85 m²,85 m²,1.0,14 September 2020,109116323,1.0,2495000.0000,"27 St James Street, Vredehoek, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,
156,2.0,2.0,,82 m²,2.0,19 September 2020,109138723,,1950000.0000,"31 Brickflield, Woodstock, Cape Town",Apartment / Flat,,1.0,,,,,,,,,
157,3.0,3.0,781 m²,357 m²,2.0,22 September 2020,109150581,1.0,13650000.0000,"4 Sillery Avenue, Constantia, Cape Town",House,1.0,,,,,,,,,,
158,2.0,4.0,396 m²,,1.0,21 September 2020,109144460,,4400000.0000,"12 Queen Victoria Road, Claremont, Cape Town",House,1.0,,,2.0,,,,,,,
159,2.5,3.0,319 m²,160 m²,2.0,16 September 2020,109124685,1.0,3995000.0000,"18 Albion Road, Rondebosch, Cape Town",House,,,,3.0,,,,,,,
160,1.0,2.0,,63 m²,1.0,14 September 2020,109114902,1.0,1600000.0000,"1 Constitution, Zonnebloem, Cape Town",Apartment / Flat,,1.0,,,,,,,,,
161,6.0,10.0,1 228 m²,982 m²,2.0,22 September 2020,109146024,1.0,9980000.0000,"5 Boulder Road, Lakeside, Cape Town",House,,,6.0,,,,,,,,
162,2.0,2.0,,122 m²,1.0,14 September 2020,109115601,1.0,2450000.0000,"7 Pine Road, Claremont Upper, Cape Town",Apartment / Flat,1.0,,,2.0,,,,,,,
163,1.0,1.0,,67 m²,,21 September 2020,109142287,,2800000.0000,"24 Hans Strijdom, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,
164,2.0,2.0,,177 m²,,15 September 2020,108960173,1.0,10850000.0000,"129 Beach Road, Mouille Point, Cape Town",Apartment / Flat,,1.0,,2.0,,,,,,,
