,Bathrooms,Bedrooms,Erf Size,Floor Size,Garages,Listing Date,Listing Number,Pet Friendly,Price,Town,Type of Property,Garden,Pool,Secure Parking,Parking,No Pets Allowed,Furnished,Flatlet,Fibre Internet,Furnished (Optional),ADSL Internet,Satellite Internet
726,1.0,2.0,125 m²,125 m²,1.0,03 August 2020,107965622,1.0,4750000.0000,"7 Main Road, Green Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
727,2.0,3.0,,155 m²,,22 September 2020,109148565,,5500000.0000,"Fresnaye, Cape Town",Apartment / Flat,,,,2.0,1.0,,,,,,
728,3.0,5.0,607 m²,196 m²,1.0,22 September 2020,109150247,,1495000.0000,"Lotus River, Cape Town",House,,,,,,,1.0,,,,
729,1.0,2.0,444 m²,91 m²,,21 September 2020,109142939,,2100000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,1.0,,,
730,2.5,2.0,,154 m²,,11 September 2020,109106502,,16094250.0000,"Waterfront, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,
731,1.0,2.0,,71 m²,,26 August 2020,109033973,1.0,1495000.0000,"25 St Michel, 40 Exeter Road, Plumstead, Cape Town",Townhouse,1.0,1.0,,1.0,,,,1.0,,,
732,2.0,3.0,473 m²,249 m²,2.0,02 September 2020,109055592,,1875000.0000,"23 Applemist Road, Ottery, Cape Town",House,1.0,,,,,,1.0,,,,
733,1.0,1.0,,54 m²,1.0,02 September 2020,109058185,,2350000.0000,"158 Waterkant Street, De Waterkant, Cape Town",Apartment / Flat,,,,,,,,,,,
734,2.5,3.0,448 m²,183 m²,2.0,04 December 2019,108244651,,3995000.0000,"Marina Da Gama, Cape Town",House,,,,,,,,,,,
735,1.0,2.0,100 m²,100 m²,,31 July 2020,108936726,,2950000.0000,"2 Main Road, Three Anchor Bay, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
736,2.0,3.0,261 m²,80 m²,,17 August 2020,108997524,,1565000.0000,"103 Fisherman's Village, Muizenberg, Cape Town",House,,,,2.0,,,,,,,
737,2.0,3.0,263 m²,263 m²,,31 July 2020,108937352,,29000000.0000,"4 Victoria Road, Clifton, Cape Town",Apartment / Flat,,1.0,3.0,,,,,,,,
738,1.0,3.0,130 m²,123 m²,,16 September 2020,109125944,,1700000.0000,"Mowbray, Cape Town",House,1.0,,,,,,,,,,
739,1.5,2.0,,100 m²,2.0,18 August 2020,109002908,,3795000.0000,"25 Protea Road, Claremont Upper, Cape Town",Apartment / Flat,,,,,1.0,,,,,,
740,1.0,,,51 m²,,22 September 2020,109145861,,1750000.0000,"Green Point, Cape Town",Townhouse,,,,,,,,,,,
741,1.0,2.0,151 m²,89 m²,,15 September 2020,109122641,,1649999.0000,"Woodstock, Cape Town",House,,,,,1.0,,,,,,
